iter	Passed	Remaining
0	0	68
1	1	67
2	1	63
3	2	57
4	2	56
5	3	55
6	4	54
7	4	53
8	5	52
9	5	51
10	6	50
11	6	50
12	7	49
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	43
22	12	43
23	13	42
24	13	41
25	14	41
26	14	40
27	15	39
28	15	39
29	16	38
30	17	37
31	17	37
32	18	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	30
42	22	29
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	50	1
98	50	0
99	51	0
