iter	Passed	Remaining
0	0	984
1	1	867
2	2	825
3	3	785
4	3	767
5	4	751
6	5	740
7	5	733
8	6	729
9	7	726
10	8	724
11	8	719
12	9	713
13	10	711
14	10	707
15	11	705
16	12	700
17	12	703
18	13	701
19	14	701
20	15	712
21	15	706
22	16	701
23	17	698
24	17	692
25	18	684
26	19	700
27	20	700
28	20	694
29	21	691
30	22	708
31	23	707
32	23	702
33	24	699
34	25	696
35	25	694
36	26	690
37	27	687
38	27	683
39	28	679
40	28	677
41	29	674
42	30	669
43	30	667
44	31	665
45	32	664
46	32	660
47	33	655
48	33	659
49	34	656
50	35	652
51	35	648
52	36	645
53	36	641
54	37	640
55	37	640
56	38	640
57	39	638
58	39	636
59	40	634
60	41	631
61	41	630
62	42	628
63	42	628
64	43	625
65	44	624
66	44	623
67	45	620
68	45	618
69	46	616
70	47	615
71	47	613
72	48	611
73	48	609
74	49	606
75	49	605
76	50	603
77	50	602
78	51	601
79	52	599
80	52	598
81	53	595
82	53	590
83	53	588
84	54	587
85	55	586
86	55	584
87	56	583
88	56	583
89	57	581
90	58	581
91	58	580
92	59	579
93	59	577
94	60	575
95	61	575
96	61	573
97	62	572
98	62	570
99	63	570
100	63	569
101	64	568
102	65	566
103	65	565
104	66	563
105	66	562
106	67	561
107	67	560
108	68	559
109	69	558
110	69	558
111	70	557
112	71	557
113	71	557
114	72	556
115	72	556
116	73	553
117	74	553
118	74	552
119	75	550
120	75	549
121	76	548
122	76	547
123	77	545
124	77	543
125	78	542
126	78	539
127	79	538
128	79	536
129	79	534
130	80	533
131	80	531
132	81	530
133	81	529
134	82	528
135	83	527
136	83	525
137	83	524
138	84	523
139	84	521
140	85	520
141	85	517
142	86	516
143	86	515
144	87	513
145	87	512
146	88	511
147	88	511
148	89	510
149	89	509
150	90	509
151	91	508
152	91	507
153	92	506
154	92	505
155	93	505
156	93	504
157	94	503
158	95	503
159	95	502
160	95	499
161	96	498
162	96	497
163	97	496
164	97	495
165	98	494
166	99	494
167	99	494
168	100	492
169	100	492
170	101	492
171	102	492
172	102	491
173	103	491
174	104	490
175	104	489
176	105	488
177	105	487
178	106	486
179	106	485
180	107	484
181	107	484
182	108	484
183	109	483
184	109	482
185	110	481
186	111	484
187	111	483
188	112	482
189	113	482
190	113	481
191	114	481
192	114	479
193	115	478
194	115	477
195	116	476
196	116	475
197	117	474
198	117	473
199	118	472
200	118	471
201	119	470
202	119	469
203	120	468
204	121	470
205	121	469
206	122	469
207	123	468
208	123	468
209	124	467
210	124	466
211	125	465
212	125	465
213	126	465
214	127	464
215	127	463
216	128	463
217	128	462
218	129	461
219	130	461
220	130	460
221	131	459
222	131	458
223	132	458
224	132	457
225	133	457
226	134	456
227	134	455
228	135	454
229	135	454
230	136	453
231	136	452
232	137	451
233	137	451
234	138	450
235	138	449
236	139	448
237	139	447
238	140	446
239	141	446
240	141	445
241	142	445
242	142	445
243	143	444
244	144	444
245	145	444
246	145	444
247	146	444
248	147	443
249	147	443
250	148	442
251	148	441
252	149	441
253	149	440
254	150	439
255	151	439
256	151	438
257	152	438
258	153	437
259	153	437
260	154	436
261	154	435
262	155	435
263	155	434
264	156	433
265	156	432
266	157	432
267	158	431
268	158	431
269	159	430
270	159	429
271	160	428
272	160	427
273	160	426
274	161	425
275	161	424
276	162	423
277	162	423
278	163	422
279	164	421
280	164	421
281	165	420
282	165	419
283	166	418
284	166	417
285	166	416
286	167	415
287	167	415
288	168	414
289	168	413
290	169	412
291	169	411
292	170	411
293	170	410
294	171	409
295	172	409
296	172	408
297	173	407
298	173	406
299	173	405
300	174	405
301	174	404
302	175	403
303	175	402
304	176	401
305	176	401
306	177	400
307	177	399
308	178	399
309	178	398
310	179	397
311	179	396
312	180	395
313	180	394
314	181	394
315	181	393
316	182	392
317	182	392
318	183	391
319	183	390
320	184	390
321	184	389
322	185	388
323	185	387
324	186	387
325	186	386
326	187	385
327	187	384
328	188	384
329	188	383
330	189	383
331	190	382
332	190	381
333	191	380
334	191	380
335	191	379
336	192	378
337	192	377
338	193	377
339	193	376
340	194	375
341	194	374
342	195	374
343	195	373
344	196	372
345	196	372
346	197	371
347	197	370
348	198	369
349	198	368
350	199	368
351	199	367
352	200	366
353	200	366
354	201	365
355	201	364
356	202	364
357	203	364
358	203	363
359	204	362
360	204	362
361	205	361
362	205	360
363	205	359
364	206	359
365	206	358
366	207	357
367	208	357
368	208	356
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	211	353
375	212	352
376	213	352
377	213	351
378	214	351
379	215	350
380	215	350
381	216	349
382	216	349
383	217	348
384	217	347
385	218	347
386	218	346
387	219	345
388	219	345
389	220	344
390	221	344
391	221	344
392	222	343
393	222	342
394	223	342
395	223	341
396	224	340
397	225	340
398	225	339
399	226	339
400	226	338
401	227	338
402	227	337
403	228	336
404	228	336
405	229	335
406	229	334
407	230	333
408	230	333
409	231	332
410	231	332
411	232	331
412	232	331
413	233	330
414	233	329
415	234	329
416	235	328
417	235	328
418	236	327
419	236	327
420	237	326
421	238	326
422	238	325
423	239	325
424	239	324
425	240	323
426	240	323
427	241	322
428	241	321
429	242	321
430	242	320
431	243	319
432	243	319
433	244	318
434	244	318
435	245	317
436	246	317
437	246	316
438	247	315
439	247	315
440	248	314
441	248	314
442	249	313
443	249	312
444	250	312
445	250	311
446	251	310
447	252	310
448	252	309
449	253	309
450	253	308
451	253	307
452	254	307
453	254	306
454	255	305
455	255	305
456	256	304
457	256	303
458	257	303
459	258	302
460	258	302
461	259	301
462	259	301
463	260	300
464	260	299
465	260	299
466	261	298
467	261	297
468	262	297
469	262	296
470	263	295
471	263	295
